;Caluromys lanatus;Caluromys philander;Chironectes minimus;Cryptonanus agricolai;Cryptonanus chacoensis;Cryptonanus guahybae;Didelphis albiventris;Didelphis aurita;Didelphis marsupialis;Dromiciops gliroides;Gracilianus agilis;Gracilinanus microtarsus;Lutreolina crassicaudata;Marmosa (Micoureus) constantiae;Marmosa (Micoureus) demerarae;Marmosa (Micoureus) paraguayanus;Marmosa (Micoureus) regina;Marmosa murina;Marmosa robinsoni;Marmosops bishopi;Marmosops incanus;Marmosops noctivagus;Marmosops ocellatus;Marmosops parvidens;Marmosops paulensis;Marmosops pinheiroi;Metachirus nudicaudatus;Monodelphis adusta;Monodelphis americana;Monodelphis brevicaudata;Monodelphis dimidiata;Monodelphis domestica;Monodelphis iheringi;Monodelphis kunsi;Monodelphis scalops;Monodelphis touan;Monodelphis umbristriata;Philander andersoni;Philander frenatus;Philander opossum;Thylamys elegans;Thylamys karimii;Thylamys macrurus;Thylamys pusillus;Thylamys sponsorius;Thylamys velutinus;Abrawayaomys ruschi;Abrothrix andinus;Abrothrix illuteus;Abrothrix longipilis;Abrothrix olivaceus;Akodon aerosus;Akodon azarae;Akodon cursor;Akodon dayi;Akodon lutescens;Akodon molinae;Akodon montensis;Akodon mystax;Akodon paranaensis;Akodon reigi;Akodon serrensis;Akodon simulator;Akodon spegazzinii;Akodon toba;Andalgalomys pearsoni;Andinomys edax;Bibimys labiosus;Blarinomys breviceps;Brucepattersonius griserufescens;Brucepattersonius iheringi;Brucepattersonius soricinus;Calomys callosus;Calomys expulsus;Calomys laucha;Calomys lepidus;Calomys musculinus;Calomys tener;Calomys tocantinsi;Cerradomys langguthi;Cerradomys maracajuensis;Cerradomys marinhus;Cerradomys scotti;Cerradomys subflavus;Cerradomys vivoi;Chelemys macronyx;Delomys collinus;Delomys dorsalis;Delomys sublineatus;Drymoreomys albimaculatus;Eligmodontia puerulus;Eligmodontia typus;Euryoryzomys emmonsae;Euryoryzomys lamia;Euryoryzomys macconnelli;Euryoryzomys nitidus;Euryoryzomys russatus;Geoxus valdivianus;Graomys griseoflavus;Holochilus brasiliensis;Holochilus chacarius;Holochilus sciureus;Hylaeamys acritus;Hylaeamys laticeps;Hylaeamys megacephalus;Hylaeamys oniscus;Hylaeamys yunganus;Irenomys tarsalis;Juliomys ossitenuis;Juliomys pictipes;Juscelinomys huanchacae;Kunsia tomentosus;Loxodontomys micropus;Lundomys molitor;Microryzomys minutus;Neacomys dubosti;Neacomys paracou;Neacomys spinosus;Neacomys tenuipes;Necromys lactens;Necromys lasiurus;Necromys lenguarum;Necromys obscurus;Nectomys rattus;Nectomys squamipes;Nephelomys keaysi;Oecomys auyantepui;Oecomys bicolor;Oecomys catherinae;Oecomys concolor;Oecomys mamorae;Oecomys paricola;Oecomys rex;Oecomys roberti;Oecomys rutilus;Oecomys speciosus;Oecomys trinitatis;Oligoryzomys chacoensis;Oligoryzomys destructor;Oligoryzomys flavescens;Oligoryzomys fornesi;Oligoryzomys fulvencens;Oligoryzomys longicaudatus;Oligoryzomys microtis;Oligoryzomys nigripes;Oligoryzomys rupestris;Oligoryzomys stramineus;Oxymycterus caparaoe;Oxymycterus dasytrichus;Oxymycterus delator;Oxymycterus hispidus;Oxymycterus judex;Oxymycterus nasutus;Oxymycterus roberti;Phyllotis darwini;Phyllotis magister;Phyllotis osilae;Phyllotis xanthopygus;Pseudoryzomys simplex;Rhagomys rufecens;Rhipidomys ipukensis;Rhipidomys leucodactylus;Rhipidomys macrurus;Rhipidomys mastacalis;Rhipidomys nitela;Scapteromys tumidus;Scolomys melanops;Sigmodon alstoni;Sigmodon hispidus;Sooretamys angouya;Thalpomys cerradensis;Thalpomys lasiotis;Thaptomys nigrita;Wiedomys pyrrhorhinos;Zygodontomys brevicauda
CC (mm);273.3;224.27;297.5;85.5;91;92;360.69;402.5;452.5;190;95.33;91.69;324.99;142;175;196;230;120.57;149;103.46;131.5;135;122;100;125.5;107.5;355;110.13;103;140.5;99.6;151;87;82.5;139.1;159;123;265;260;300.5;120.71;103.5;127.27;100.1;100;49.99;125.5;146.8;111;107.18;164;110.5;94;104;121;79.5;101.5;107;85;109.8;107.5;97.6;111;91.5;118.6;109;163;85;105;103;100;103;98;99.7;65;69.5;96;77.5;90.1;136.3;167;168;134;160;143.31;129;253;127;125;136.3;84.8;83.5;137.7;141;290.8;259.8;135;96;85.5;193;164;164;145;275.8;236;221.15;227.8;109.16;201.5;94;172;235.3;128.95;193;76;76;73;182;83;145.5;123;123;190.5;210.8;200.7;159.47;110;94;141;128;136;100;152;286.7;84;152.52;293.5;223.4;92;87;72.3;80.5;99;89;92;82.9;94.3;128.9;148.8;144.5;165.25;150.2;123.3;127;124;132;126;127.5;115;85.5;121;349;133.4;136.7;115.5;172;94.5;137;167.5;161;101;80.7;90.6;100;121.5
CA (mm);393.5;303.5;370;104.5;110.5;113;360;384;431.5;100;134;149;273;193.5;257;195.5;266;183.5;179;126.5;204;172.5;166;149;178.5;145.5;284;53;50;79;58.5;68.5;47;41;61;88;53;293.5;279.5;294;110.58;87.5;144.5;117;138;78;100.5;80.72;84.5;82.65;75;78;67;93;83;57;79;89.5;68;83.1;88;84.8;80;68;85.1;127;137;76;42.5;103;94;83;72.3;2.1;48;44.5;91;60.6;66.6;169.61;189.5;191;149.5;177.5;177.36;56.65;126;132;105;170.3;80.4;94;152;145.5;149.5;130.5;139;45.58;105;198;167;150;119.57;130;112;116.49;104.4;160.17;111;108.8;98;169;95.55;235;122;79;73;96.7;96;71;69;69;75;214.5;208.4;185.5;116;112;166;141;166;100;158;160.9;98;137.97;161.8;129;121.5;109.7;100.1;101;124;91;116;121.1;118.6;90.4;125.2;91.3;111.5;115.5;86.7;110;135.5;138;131;147.5;116;99.6;140;194.3;169.3;168.9;148.8;153;67;91;91;192;73;50.1;44.5;173;98.5
MC (g);350.33;246.47;670;18;15;18;1030.47;1105.88;1362.5;20;22.03;29.3;554.77;70.5;119;95;118.6;36.28;71;19.5;59.88;47.5;30;26;43;26;345.5;36.04;29;78.84;44.56;115;11;19;61;82;90;324.99;450;487.5;28.9;59;34.43;22;34.03;20.69;55;27.54;47.79;38.86;23;59.99;22;45.5;32.49;20.69;31;44.1;19;32.4;30.1;26.3;42.5;28.6;51.2;45;69.75;30;36;23.7;28;25;29.9;28.2;19;20.59;21;14.5;25.3;62.57;114;108.4;90;73;77.56;70.99;47;60;60;55;28.49;28.5;72;65;66.49;55.19;85;30.8;90;210;150;139.7;57;49.11;45.4;59;39;43.15;23;23.5;99;426;70.76;358.5;13.49;14;14;31;19;32.9;42.2;42.2;43.5;239.8;229;58.29;42;28;70;32.8;79;37;60;233.2;20;73.4;61;23;25.2;18.8;14;16.3;29.7;19.5;25.4;13.8;27.1;46.4;94.9;78.3;90.75;92.5;50;83.71;50.82;68.49;43.64;52.43;50;22;66;80;80.3;86.9;41;124;26.5;55.7;110.65;116;23.99;17.2;21.3;34;47.5
Terrestre;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
Arborícola;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0
Semiaquático;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Semifossorial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frugívoro;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1
Onívoro;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
Piscívoro;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Insetívoro;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Granívoro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1
Herbívoro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Folívoro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Predador de sementes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0